Year,Actor2Geo_CountryCode,GoldsteinScale,NuMentions,AvgTone,QuadClass,Goldstein_Neg_5,Goldstein_Neg_6,Goldstein_Neg_7,Goldstein_Neg_8,Goldstein_Neg_9,Goldstein_Pos_5,Goldstein_Pos_6,Goldstein_Pos_7,Goldstein_Pos_8,Goldstein_Pos_9,Quad_4_Goldstein_Neg_5,Quad_4_Goldstein_Neg_6,Quad_4_Goldstein_Neg_7,Quad_4_Goldstein_Neg_8,Quad_4_Goldstein_Neg_9,Event_Code_19_20,Extreme_Pos_Tone_Events,Extreme_Neg_Tone_Events
2000,NL,0.965289339,4.560625815,5.035072267,1.763614482,844,823,709,631,523,1673,1413,505,104,31,726,724,705,631,523,438,373,0
2000,NO,1.84505901,4.656068346,5.599468513,1.481504316,665,652,544,504,449,2223,1948,606,89,42,567,562,535,504,449,385,382,0
2000,NP,0.178221338,5.720272766,4.745387146,1.883079983,1232,1227,1110,1064,990,1097,904,178,40,8,1125,1125,1094,1064,990,890,233,0
2000,NR,2.71559633,6.091743119,6.866361569,1.385321101,3,3,3,1,1,26,22,17,0,0,3,3,3,1,1,1,3,0
2000,NS,0.639426523,4.609318996,4.643555166,1.82078853,28,28,25,18,17,40,37,11,1,1,25,25,25,18,17,17,0,0
2000,NT,0.496296296,3.185185185,3.553262769,1.592592593,2,2,2,2,1,1,1,0,0,0,2,2,2,2,1,0,0,0
2000,NU,1.644344043,4.305220884,5.609420693,1.502342704,182,180,160,145,127,468,436,240,16,6,158,156,155,145,127,112,49,0
2000,NZ,0.904345383,5.291253044,6.615256087,1.682899419,565,553,514,471,408,772,679,162,28,9,523,521,511,471,408,390,631,0
2000,OC,0.340921053,4.032894737,5.029061334,1.790789474,94,94,83,77,72,93,66,20,4,0,83,83,83,77,72,57,22,0
2000,OD,0.737313433,2.447761194,7.200489827,1.641791045,9,9,8,8,8,4,4,1,0,0,8,8,8,8,8,8,7,0
2000,OS,1.150789936,4.179637215,5.123915522,1.576945582,135,135,128,109,102,261,221,76,8,4,127,127,126,109,102,97,24,0
2000,PA,0.173731884,4.488677536,4.472630565,1.931612319,187,187,165,159,158,288,249,90,8,5,165,165,165,159,158,107,36,0
2000,PE,0.750512515,5.036948749,5.342918374,1.730154946,910,878,579,488,335,1338,1118,318,54,30,582,574,557,488,335,281,234,0
2000,PF,-0.4,9,6.160164271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,PG,0.204545455,3.681818182,4.42818552,1.727272727,3,3,3,3,3,2,2,1,0,0,3,3,3,3,3,3,0,0
2000,PK,-0.012138014,5.264120463,5.019774908,1.924930195,7625,7566,6938,6510,6075,6970,6285,1503,406,138,7025,7011,6905,6510,6075,5498,1383,0
2000,PL,1.575356555,5.538588245,5.776832379,1.496484673,1264,1245,880,786,654,3887,3407,1021,119,56,891,890,855,786,654,573,1262,0
2000,PM,1.298997821,4.344662309,5.321427758,1.61416122,301,300,250,232,202,608,524,132,13,4,255,255,250,232,202,144,106,0
2000,PO,1.658112997,4.647369886,5.59382189,1.469895167,589,572,498,425,383,1637,1506,353,107,27,514,513,496,425,383,369,421,0
2000,PP,1.027025824,5.50445236,6.106943792,1.67364203,171,169,143,132,123,342,310,122,14,10,156,156,143,132,123,104,158,0
2000,PS,2.236099585,5.319502075,6.542529355,1.286307054,14,14,14,9,9,41,35,20,1,1,14,14,14,9,9,9,21,0
2000,PU,0.984529648,4.605884975,5.494785546,1.77039679,210,206,187,178,164,371,317,101,27,7,196,193,187,178,164,158,68,0
2000,QA,2.108557969,4.381313792,5.475239333,1.320858414,236,207,146,112,106,1176,1062,219,11,8,168,165,146,112,106,91,241,0
2000,RB,-0.263189295,4.998764024,5.148012831,1.970431641,6422,6364,5151,4743,4354,4886,4317,899,359,133,5286,5276,5048,4743,4354,3828,767,0
2000,RE,2.357777778,3.866666667,7.662858304,1.244444444,1,1,1,1,1,5,5,3,0,0,1,1,1,1,1,1,5,0
2000,RI,-0.131063448,4.16534823,5.31603956,1.936307291,3360,3327,2600,2262,2110,2775,2473,572,208,110,2677,2677,2537,2262,2110,1862,506,0
2000,RM,2.34978903,4.894514768,5.400600243,1.514767932,5,5,2,2,2,65,50,36,0,0,2,2,2,2,2,1,3,0
